trip_id,bus_id,route_id,driver_id,start_time,end_time,passenger_count
T6063,B107,R2,D5,2026-08-21 12:56:00,2026-08-21 13:22:00,20
T6064,B114,R1,D10,2026-08-21 15:40:00,2026-08-21 16:12:00,11
T6065,B106,R3,D1,2026-08-21 09:26:00,2026-08-21 10:02:00,26
T6066,B105,R1,D1,2026-08-21 09:07:00,2026-08-21 10:22:00,42
T6067,B103,R2,D10,2026-08-21 12:45:00,2026-08-21 14:02:00,24
T6068,B105,R4,D10,2026-08-21 11:49:00,2026-08-21 13:04:00,15
T6069,B106,R2,D10,2026-08-21 12:18:00,2026-08-21 13:42:00,41
T6070,B114,R5,D4,2026-08-21 09:33:00,2026-08-21 10:05:00,21
T6071,B108,R2,D5,2026-08-21 08:17:00,2026-08-21 09:37:00,20
T6072,B117,R5,D2,2026-08-21 17:07:00,2026-08-21 18:33:00,25
T6073,B108,R4,D7,2026-08-21 10:06:00,2026-08-21 11:33:00,43
T6074,B108,R3,D6,2026-08-21 15:34:00,2026-08-21 16:03:00,46
T6075,B107,R1,D1,2026-08-21 11:42:00,2026-08-21 13:05:00,12
T6076,B111,R2,D1,2026-08-21 13:27:00,2026-08-21 13:54:00,28
T6077,B109,R1,D10,2026-08-21 09:09:00,2026-08-21 10:03:00,43
T6078,B112,R1,D3,2026-08-21 11:02:00,2026-08-21 11:47:00,32
T6079,B110,R5,D5,2026-08-21 12:38:00,2026-08-21 13:16:00,22
T6080,B101,R3,D4,2026-08-21 13:43:00,2026-08-21 14:10:00,19
T6081,B113,R1,D6,2026-08-21 16:22:00,2026-08-21 16:52:00,30
T6082,B118,R2,D2,2026-08-21 12:24:00,2026-08-21 13:15:00,11
T6083,B107,R2,D6,2026-08-21 06:29:00,2026-08-21 07:11:00,49
T6084,B101,R4,D2,2026-08-21 10:22:00,2026-08-21 10:51:00,37
T6085,B116,R4,D9,2026-08-21 07:22:00,2026-08-21 08:29:00,34
T6086,B111,R3,D2,2026-08-21 15:32:00,2026-08-21 16:25:00,27
T6087,B103,R1,D4,2026-08-21 15:03:00,2026-08-21 15:54:00,27
T6088,B109,R3,D10,2026-08-21 11:33:00,2026-08-21 12:06:00,49
T6089,B115,R4,D9,2026-08-21 10:08:00,2026-08-21 10:55:00,11
T6090,B103,R4,D2,2026-08-21 16:16:00,2026-08-21 17:09:00,11
T6091,B115,R4,D6,2026-08-21 10:49:00,2026-08-21 12:12:00,42
T6092,B104,R3,D7,2026-08-21 10:00:00,2026-08-21 11:28:00,23
T6093,B115,R4,D6,2026-08-21 07:09:00,2026-08-21 08:04:00,48
T6094,B102,R5,D2,2026-08-21 07:27:00,2026-08-21 07:49:00,50
T6095,B107,R4,D10,2026-08-21 08:12:00,2026-08-21 09:24:00,47
T6096,B104,R3,D4,2026-08-21 06:18:00,2026-08-21 06:40:00,23
T6097,B101,R4,D5,2026-08-21 17:23:00,2026-08-21 17:56:00,21
T6098,B106,R4,D2,2026-08-21 08:18:00,2026-08-21 09:14:00,29
T6099,B113,R1,D2,2026-08-21 09:09:00,2026-08-21 10:22:00,27
T6100,B109,R2,D5,2026-08-21 14:59:00,2026-08-21 15:57:00,17
