payment_id,trip_id,passenger_id,amount,payment_method,payment_timestamp
PAY10037,T5134,P1079,15.0,Cash,2026-08-20 14:56:00
PAY10038,T5073,P1050,30.0,Cash,2026-08-20 12:21:00
PAY10039,T5154,P1007,25.0,SmartCard,2026-08-20 17:35:00
PAY10040,T5025,P1072,30.0,Cash,2026-08-20 11:37:00
PAY10041,T5186,P1085,50.0,MobileApp,2026-08-20 10:18:00
PAY10042,T5021,P1075,15.0,Cash,2026-08-20 11:41:00
PAY10043,T5168,P1090,30.0,MobileApp,2026-08-20 11:17:00
PAY10044,T5182,P1011,25.0,ContactlessCredit,2026-08-20 16:09:00
PAY10045,T5085,P1017,50.0,SmartCard,2026-08-20 16:58:00
PAY10046,T5172,P1055,50.0,Cash,2026-08-20 17:01:00
PAY10047,T5093,P1040,15.0,MobileApp,2026-08-20 06:18:00
PAY10048,T5197,P1063,15.0,MobileApp,2026-08-20 11:49:00
PAY10049,T5040,P1010,25.0,SmartCard,2026-08-20 08:20:00
PAY10050,T5198,P1070,50.0,SmartCard,2026-08-20 14:39:00
PAY10051,T5087,P1099,50.0,MobileApp,2026-08-20 17:17:00
PAY10052,T5097,P1020,15.0,MobileApp,2026-08-20 16:11:00
PAY10053,T5198,P1080,15.0,ContactlessCredit,2026-08-20 17:49:00
PAY10054,T5106,P1047,15.0,ContactlessCredit,2026-08-20 06:44:00
PAY10055,T5073,P1097,30.0,MobileApp,2026-08-20 16:25:00
PAY10056,T5062,P1040,30.0,MobileApp,2026-08-20 15:06:00
PAY10057,T5174,P1074,30.0,ContactlessCredit,2026-08-20 12:16:00
PAY10058,T5200,P1049,50.0,ContactlessCredit,2026-08-20 10:48:00
PAY10059,T5052,P1078,15.0,Cash,2026-08-20 08:45:00
PAY10060,T5165,P1062,25.0,SmartCard,2026-08-20 06:53:00
PAY10061,T5032,P1037,10.0,MobileApp,2026-08-20 14:48:00
PAY10062,T5116,P1066,15.0,ContactlessCredit,2026-08-20 10:39:00
PAY10063,T5057,P1058,25.0,SmartCard,2026-08-20 07:33:00
PAY10064,T5014,P1051,50.0,Cash,2026-08-20 13:04:00
PAY10065,T5099,P1011,25.0,MobileApp,2026-08-20 10:01:00
PAY10066,T5082,P1013,25.0,MobileApp,2026-08-20 06:28:00
PAY10067,T5010,P1037,30.0,MobileApp,2026-08-20 08:20:00
PAY10068,T5115,P1079,10.0,SmartCard,2026-08-20 14:00:00
PAY10069,T5066,P1028,15.0,ContactlessCredit,2026-08-20 06:19:00
PAY10070,T5199,P1037,15.0,Cash,2026-08-20 07:53:00
PAY10071,T5013,P1031,30.0,ContactlessCredit,2026-08-20 08:04:00
PAY10072,T5029,P1064,50.0,SmartCard,2026-08-20 07:04:00
PAY10073,T5132,P1074,15.0,MobileApp,2026-08-20 16:47:00
PAY10074,T5110,P1001,50.0,Cash,2026-08-20 10:58:00
PAY10075,T5147,P1054,15.0,SmartCard,2026-08-20 10:06:00
PAY10076,T5093,P1009,50.0,SmartCard,2026-08-20 14:56:00
PAY10077,T5121,P1006,30.0,Cash,2026-08-20 12:39:00
PAY10078,T5192,P1003,25.0,SmartCard,2026-08-20 10:19:00
PAY10079,T5062,P1094,10.0,Cash,2026-08-20 11:53:00
PAY10080,T5012,P1046,50.0,Cash,2026-08-20 08:16:00
PAY10081,T5045,P1100,30.0,ContactlessCredit,2026-08-20 16:58:00
PAY10082,T5047,P1018,10.0,ContactlessCredit,2026-08-20 16:46:00
PAY10083,T5076,P1026,10.0,MobileApp,2026-08-20 06:37:00
PAY10084,T5081,P1040,50.0,ContactlessCredit,2026-08-20 06:42:00
PAY10085,T5122,P1033,10.0,MobileApp,2026-08-20 15:16:00
PAY10086,T5092,P1100,10.0,Cash,2026-08-20 10:52:00
PAY10087,T5032,P1048,30.0,ContactlessCredit,2026-08-20 10:39:00
PAY10088,T5099,P1044,15.0,ContactlessCredit,2026-08-20 13:30:00
PAY10089,T5128,P1048,50.0,Cash,2026-08-20 17:48:00
PAY10090,T5187,P1055,10.0,ContactlessCredit,2026-08-20 07:24:00
PAY10091,T5047,P1070,25.0,Cash,2026-08-20 16:16:00
PAY10092,T5021,P1042,25.0,Cash,2026-08-20 07:45:00
PAY10093,T5155,P1092,30.0,MobileApp,2026-08-20 13:36:00
PAY10094,T5114,P1045,30.0,SmartCard,2026-08-20 17:46:00
PAY10095,T5158,P1056,25.0,SmartCard,2026-08-20 12:01:00
PAY10096,T5172,P1082,30.0,Cash,2026-08-20 07:16:00
PAY10097,T5192,P1087,15.0,SmartCard,2026-08-20 14:45:00
PAY10098,T5156,P1087,30.0,SmartCard,2026-08-20 08:26:00
PAY10099,T5018,P1031,25.0,Cash,2026-08-20 08:09:00
PAY10100,T5146,P1005,50.0,MobileApp,2026-08-20 12:32:00
PAY10101,T5116,P1048,25.0,ContactlessCredit,2026-08-20 17:35:00
PAY10102,T5147,P1018,50.0,Cash,2026-08-20 07:18:00
PAY10103,T5081,P1084,25.0,MobileApp,2026-08-20 12:47:00
PAY10104,T5007,P1095,15.0,ContactlessCredit,2026-08-20 07:56:00
PAY10105,T5100,P1072,10.0,Cash,2026-08-20 14:50:00
PAY10106,T5181,P1058,15.0,Cash,2026-08-20 10:26:00
PAY10107,T5126,P1026,10.0,MobileApp,2026-08-20 17:50:00
PAY10108,T5116,P1023,30.0,SmartCard,2026-08-20 07:15:00
PAY10109,T5082,P1086,25.0,SmartCard,2026-08-20 17:38:00
PAY10110,T5139,P1038,25.0,MobileApp,2026-08-20 15:23:00
PAY10111,T5164,P1023,25.0,MobileApp,2026-08-20 17:57:00
PAY10112,T5052,P1018,15.0,ContactlessCredit,2026-08-20 08:04:00
PAY10113,T5093,P1071,50.0,Cash,2026-08-20 06:26:00
PAY10114,T5142,P1017,50.0,SmartCard,2026-08-20 13:58:00
PAY10115,T5080,P1051,30.0,ContactlessCredit,2026-08-20 07:07:00
PAY10116,T5148,P1010,15.0,Cash,2026-08-20 12:59:00
PAY10117,T5019,P1058,30.0,Cash,2026-08-20 16:57:00
PAY10118,T5200,P1071,50.0,MobileApp,2026-08-20 08:11:00
PAY10119,T5111,P1065,10.0,SmartCard,2026-08-20 08:12:00
PAY10120,T5040,P1039,15.0,MobileApp,2026-08-20 14:50:00
PAY10121,T5182,P1029,25.0,Cash,2026-08-20 11:30:00
PAY10122,T5065,P1026,50.0,Cash,2026-08-20 07:20:00
PAY10123,T5161,P1039,50.0,SmartCard,2026-08-20 08:08:00
PAY10124,T5165,P1022,50.0,MobileApp,2026-08-20 14:34:00
PAY10125,T5169,P1080,50.0,Cash,2026-08-20 08:55:00
PAY10126,T5011,P1004,10.0,SmartCard,2026-08-20 15:37:00
PAY10127,T5198,P1074,25.0,MobileApp,2026-08-20 16:56:00
PAY10128,T5107,P1080,10.0,ContactlessCredit,2026-08-20 15:45:00
PAY10129,T5140,P1038,25.0,ContactlessCredit,2026-08-20 16:42:00
PAY10130,T5176,P1052,25.0,ContactlessCredit,2026-08-20 10:10:00
PAY10131,T5177,P1008,15.0,ContactlessCredit,2026-08-20 07:14:00
PAY10132,T5124,P1060,15.0,Cash,2026-08-20 13:05:00
PAY10133,T5037,P1041,25.0,Cash,2026-08-20 16:21:00
PAY10134,T5034,P1098,25.0,SmartCard,2026-08-20 12:48:00
PAY10135,T5062,P1060,10.0,Cash,2026-08-20 11:26:00
PAY10136,T5064,P1019,10.0,SmartCard,2026-08-20 13:40:00
PAY10137,T5099,P1079,30.0,MobileApp,2026-08-20 10:57:00
PAY10138,T5084,P1074,25.0,MobileApp,2026-08-20 08:43:00
PAY10139,T5128,P1066,30.0,ContactlessCredit,2026-08-20 08:43:00
PAY10140,T5128,P1003,10.0,ContactlessCredit,2026-08-20 11:15:00
PAY10141,T5118,P1031,15.0,Cash,2026-08-20 14:37:00
PAY10142,T5013,P1037,30.0,ContactlessCredit,2026-08-20 06:49:00
PAY10143,T5138,P1002,10.0,ContactlessCredit,2026-08-20 10:52:00
PAY10144,T5068,P1094,25.0,ContactlessCredit,2026-08-20 08:17:00
PAY10145,T5012,P1052,10.0,MobileApp,2026-08-20 12:14:00
PAY10146,T5142,P1037,10.0,ContactlessCredit,2026-08-20 12:11:00
PAY10147,T5116,P1098,50.0,Cash,2026-08-20 14:36:00
PAY10148,T5175,P1079,10.0,MobileApp,2026-08-20 16:38:00
PAY10149,T5101,P1048,25.0,Cash,2026-08-20 07:39:00
PAY10150,T5051,P1078,50.0,ContactlessCredit,2026-08-20 08:27:00
PAY10151,T5011,P1006,10.0,MobileApp,2026-08-20 14:32:00
PAY10152,T5122,P1067,30.0,MobileApp,2026-08-20 11:41:00
PAY10153,T5132,P1018,25.0,Cash,2026-08-20 16:20:00
PAY10154,T5101,P1079,25.0,Cash,2026-08-20 08:46:00
PAY10155,T5131,P1069,30.0,Cash,2026-08-20 14:39:00
PAY10156,T5005,P1048,25.0,SmartCard,2026-08-20 14:06:00
PAY10157,T5150,P1040,10.0,ContactlessCredit,2026-08-20 13:06:00
PAY10158,T5168,P1100,50.0,MobileApp,2026-08-20 10:31:00
PAY10159,T5150,P1062,15.0,ContactlessCredit,2026-08-20 06:52:00
PAY10160,T5175,P1032,10.0,SmartCard,2026-08-20 08:31:00
PAY10161,T5005,P1057,25.0,ContactlessCredit,2026-08-20 09:15:00
PAY10162,T5106,P1089,15.0,ContactlessCredit,2026-08-20 08:35:00
PAY10163,T5199,P1079,30.0,SmartCard,2026-08-20 14:33:00
PAY10164,T5133,P1027,50.0,Cash,2026-08-20 08:21:00
PAY10165,T5123,P1068,30.0,Cash,2026-08-20 17:18:00
PAY10166,T5118,P1069,25.0,Cash,2026-08-20 08:57:00
PAY10167,T5198,P1093,25.0,ContactlessCredit,2026-08-20 17:32:00
PAY10168,T5064,P1036,50.0,Cash,2026-08-20 09:16:00
PAY10169,T5077,P1099,25.0,MobileApp,2026-08-20 09:50:00
PAY10170,T5181,P1063,25.0,ContactlessCredit,2026-08-20 17:46:00
PAY10171,T5144,P1093,25.0,Cash,2026-08-20 11:57:00
PAY10172,T5147,P1087,50.0,ContactlessCredit,2026-08-20 08:04:00
PAY10173,T5089,P1099,15.0,Cash,2026-08-20 12:44:00
PAY10174,T5074,P1092,10.0,Cash,2026-08-20 06:43:00
PAY10175,T5168,P1033,30.0,MobileApp,2026-08-20 13:32:00
PAY10176,T5138,P1035,50.0,Cash,2026-08-20 09:26:00
PAY10177,T5028,P1079,50.0,MobileApp,2026-08-20 08:20:00
PAY10178,T5013,P1086,50.0,MobileApp,2026-08-20 10:08:00
PAY10179,T5060,P1007,10.0,ContactlessCredit,2026-08-20 16:53:00
PAY10180,T5184,P1061,10.0,MobileApp,2026-08-20 11:38:00
PAY10181,T5141,P1021,30.0,ContactlessCredit,2026-08-20 06:05:00
PAY10182,T5167,P1026,25.0,Cash,2026-08-20 14:08:00
PAY10183,T5166,P1008,10.0,MobileApp,2026-08-20 10:52:00
PAY10184,T5190,P1093,10.0,MobileApp,2026-08-20 15:07:00
PAY10185,T5046,P1005,30.0,ContactlessCredit,2026-08-20 13:07:00
PAY10186,T5192,P1038,10.0,SmartCard,2026-08-20 09:10:00
PAY10187,T5146,P1078,10.0,Cash,2026-08-20 11:05:00
PAY10188,T5117,P1083,50.0,ContactlessCredit,2026-08-20 10:51:00
PAY10189,T5130,P1060,25.0,MobileApp,2026-08-20 08:17:00
PAY10190,T5085,P1021,30.0,Cash,2026-08-20 07:55:00
PAY10191,T5004,P1095,25.0,Cash,2026-08-20 09:10:00
PAY10192,T5173,P1097,15.0,MobileApp,2026-08-20 15:41:00
PAY10193,T5164,P1052,30.0,Cash,2026-08-20 16:25:00
PAY10194,T5103,P1086,10.0,MobileApp,2026-08-20 07:28:00
PAY10195,T5123,P1042,15.0,SmartCard,2026-08-20 08:23:00
PAY10196,T5099,P1031,30.0,Cash,2026-08-20 10:27:00
PAY10197,T5078,P1075,50.0,SmartCard,2026-08-20 11:37:00
PAY10198,T5168,P1047,15.0,SmartCard,2026-08-20 10:27:00
PAY10199,T5031,P1060,25.0,MobileApp,2026-08-20 17:23:00
PAY10200,T5176,P1065,25.0,SmartCard,2026-08-20 12:55:00
PAY10201,T5076,P1048,50.0,MobileApp,2026-08-20 16:54:00
PAY10202,T5035,P1062,15.0,ContactlessCredit,2026-08-20 09:44:00
PAY10203,T5096,P1054,50.0,ContactlessCredit,2026-08-20 16:20:00
PAY10204,T5171,P1028,15.0,SmartCard,2026-08-20 15:10:00
PAY10205,T5115,P1068,25.0,SmartCard,2026-08-20 14:58:00
PAY10206,T5029,P1008,50.0,MobileApp,2026-08-20 15:37:00
PAY10207,T5138,P1020,15.0,Cash,2026-08-20 15:46:00
PAY10208,T5114,P1015,15.0,ContactlessCredit,2026-08-20 14:52:00
PAY10209,T5131,P1058,10.0,ContactlessCredit,2026-08-20 07:33:00
PAY10210,T5132,P1054,30.0,SmartCard,2026-08-20 08:15:00
PAY10211,T5119,P1087,25.0,SmartCard,2026-08-20 15:32:00
PAY10212,T5066,P1001,15.0,SmartCard,2026-08-20 12:45:00
PAY10213,T5109,P1045,10.0,SmartCard,2026-08-20 06:46:00
PAY10214,T5121,P1005,25.0,ContactlessCredit,2026-08-20 07:10:00
PAY10215,T5197,P1018,30.0,Cash,2026-08-20 09:04:00
PAY10216,T5115,P1049,30.0,SmartCard,2026-08-20 12:31:00
PAY10217,T5170,P1070,15.0,Cash,2026-08-20 17:39:00
PAY10218,T5046,P1069,30.0,MobileApp,2026-08-20 08:01:00
PAY10219,T5001,P1097,10.0,Cash,2026-08-20 09:48:00
PAY10220,T5173,P1093,50.0,ContactlessCredit,2026-08-20 13:54:00
PAY10221,T5098,P1030,15.0,ContactlessCredit,2026-08-20 15:04:00
PAY10222,T5040,P1036,15.0,SmartCard,2026-08-20 11:54:00
PAY10223,T5170,P1054,50.0,SmartCard,2026-08-20 06:32:00
PAY10224,T5053,P1009,10.0,SmartCard,2026-08-20 10:06:00
PAY10225,T5154,P1087,10.0,MobileApp,2026-08-20 13:37:00
PAY10226,T5103,P1057,15.0,MobileApp,2026-08-20 06:45:00
PAY10227,T5036,P1065,25.0,MobileApp,2026-08-20 06:57:00
PAY10228,T5082,P1074,50.0,Cash,2026-08-20 15:49:00
PAY10229,T5078,P1019,50.0,MobileApp,2026-08-20 10:02:00
PAY10230,T5077,P1036,10.0,MobileApp,2026-08-20 13:03:00
PAY10231,T5174,P1055,50.0,ContactlessCredit,2026-08-20 16:41:00
PAY10232,T5089,P1083,30.0,Cash,2026-08-20 06:48:00
PAY10233,T5107,P1053,15.0,Cash,2026-08-20 17:53:00
PAY10234,T5048,P1097,50.0,ContactlessCredit,2026-08-20 12:25:00
PAY10235,T5058,P1039,15.0,ContactlessCredit,2026-08-20 10:06:00
PAY10236,T5144,P1053,30.0,MobileApp,2026-08-20 06:59:00
PAY10237,T5063,P1033,15.0,Cash,2026-08-20 12:37:00
PAY10238,T5021,P1058,25.0,SmartCard,2026-08-20 17:02:00
PAY10239,T5186,P1025,10.0,Cash,2026-08-20 15:08:00
PAY10240,T5173,P1078,50.0,SmartCard,2026-08-20 12:26:00
PAY10241,T5049,P1098,50.0,MobileApp,2026-08-20 07:14:00
PAY10242,T5054,P1043,25.0,SmartCard,2026-08-20 14:10:00
PAY10243,T5049,P1095,10.0,ContactlessCredit,2026-08-20 09:36:00
PAY10244,T5179,P1078,15.0,ContactlessCredit,2026-08-20 10:08:00
PAY10245,T5142,P1042,25.0,ContactlessCredit,2026-08-20 10:05:00
PAY10246,T5137,P1084,25.0,Cash,2026-08-20 13:57:00
PAY10247,T5093,P1066,30.0,ContactlessCredit,2026-08-20 10:27:00
PAY10248,T5185,P1061,25.0,MobileApp,2026-08-20 07:40:00
PAY10249,T5081,P1053,10.0,MobileApp,2026-08-20 12:19:00
PAY10250,T5005,P1034,50.0,ContactlessCredit,2026-08-20 08:29:00
PAY10251,T5040,P1026,25.0,MobileApp,2026-08-20 11:02:00
PAY10252,T5146,P1032,30.0,Cash,2026-08-20 12:28:00
PAY10253,T5196,P1063,30.0,ContactlessCredit,2026-08-20 10:23:00
PAY10254,T5188,P1046,15.0,MobileApp,2026-08-20 08:52:00
PAY10255,T5126,P1024,50.0,SmartCard,2026-08-20 15:19:00
PAY10256,T5009,P1010,10.0,SmartCard,2026-08-20 14:56:00
PAY10257,T5036,P1081,15.0,SmartCard,2026-08-20 13:02:00
PAY10258,T5003,P1028,50.0,ContactlessCredit,2026-08-20 08:34:00
PAY10259,T5016,P1080,50.0,ContactlessCredit,2026-08-20 12:22:00
PAY10260,T5125,P1003,10.0,ContactlessCredit,2026-08-20 17:15:00
PAY10261,T5005,P1068,25.0,Cash,2026-08-20 06:12:00
PAY10262,T5129,P1090,30.0,MobileApp,2026-08-20 06:17:00
PAY10263,T5025,P1068,15.0,MobileApp,2026-08-20 07:49:00
PAY10264,T5159,P1068,25.0,Cash,2026-08-20 09:16:00
PAY10265,T5102,P1011,25.0,ContactlessCredit,2026-08-20 10:33:00
PAY10266,T5145,P1032,15.0,Cash,2026-08-20 13:50:00
PAY10267,T5021,P1084,10.0,SmartCard,2026-08-20 17:40:00
PAY10268,T5098,P1049,50.0,ContactlessCredit,2026-08-20 12:55:00
PAY10269,T5164,P1002,15.0,SmartCard,2026-08-20 06:57:00
PAY10270,T5112,P1083,25.0,SmartCard,2026-08-20 14:31:00
PAY10271,T5011,P1030,15.0,ContactlessCredit,2026-08-20 15:00:00
PAY10272,T5012,P1010,25.0,SmartCard,2026-08-20 10:37:00
PAY10273,T5081,P1003,15.0,MobileApp,2026-08-20 09:03:00
PAY10274,T5020,P1039,15.0,MobileApp,2026-08-20 12:47:00
PAY10275,T5100,P1087,50.0,Cash,2026-08-20 15:40:00
PAY10276,T5194,P1095,15.0,SmartCard,2026-08-20 12:33:00
PAY10277,T5191,P1045,10.0,SmartCard,2026-08-20 14:32:00
PAY10278,T5060,P1010,25.0,ContactlessCredit,2026-08-20 13:27:00
PAY10279,T5008,P1082,25.0,ContactlessCredit,2026-08-20 11:34:00
PAY10280,T5059,P1046,50.0,ContactlessCredit,2026-08-20 14:22:00
PAY10281,T5048,P1088,50.0,ContactlessCredit,2026-08-20 13:22:00
PAY10282,T5198,P1080,25.0,MobileApp,2026-08-20 07:27:00
PAY10283,T5022,P1035,15.0,ContactlessCredit,2026-08-20 07:15:00
PAY10284,T5040,P1095,30.0,Cash,2026-08-20 16:49:00
PAY10285,T5028,P1012,10.0,Cash,2026-08-20 12:09:00
PAY10286,T5093,P1098,25.0,SmartCard,2026-08-20 13:35:00
PAY10287,T5023,P1024,30.0,ContactlessCredit,2026-08-20 08:15:00
PAY10288,T5143,P1066,30.0,SmartCard,2026-08-20 15:30:00
PAY10289,T5023,P1046,50.0,SmartCard,2026-08-20 06:26:00
PAY10290,T5154,P1042,30.0,SmartCard,2026-08-20 16:11:00
PAY10291,T5106,P1050,10.0,MobileApp,2026-08-20 10:58:00
PAY10292,T5134,P1022,30.0,MobileApp,2026-08-20 15:45:00
PAY10293,T5069,P1039,25.0,ContactlessCredit,2026-08-20 08:22:00
PAY10294,T5017,P1022,30.0,Cash,2026-08-20 08:29:00
PAY10295,T5077,P1062,10.0,Cash,2026-08-20 13:11:00
PAY10296,T5064,P1093,30.0,MobileApp,2026-08-20 10:17:00
PAY10297,T5028,P1018,25.0,SmartCard,2026-08-20 13:48:00
PAY10298,T5086,P1080,30.0,Cash,2026-08-20 12:45:00
PAY10299,T5086,P1056,50.0,MobileApp,2026-08-20 13:30:00
PAY10300,T5083,P1078,15.0,ContactlessCredit,2026-08-20 11:07:00
PAY10301,T5046,P1051,25.0,Cash,2026-08-20 11:21:00
PAY10302,T5163,P1063,50.0,MobileApp,2026-08-20 17:51:00
PAY10303,T5097,P1036,30.0,Cash,2026-08-20 11:33:00
PAY10304,T5145,P1026,50.0,MobileApp,2026-08-20 07:56:00
PAY10305,T5197,P1071,10.0,ContactlessCredit,2026-08-20 17:38:00
PAY10306,T5113,P1038,10.0,ContactlessCredit,2026-08-20 09:34:00
PAY10307,T5128,P1018,25.0,MobileApp,2026-08-20 17:29:00
PAY10308,T5169,P1020,30.0,ContactlessCredit,2026-08-20 10:18:00
PAY10309,T5115,P1077,30.0,ContactlessCredit,2026-08-20 07:15:00
PAY10310,T5130,P1089,30.0,SmartCard,2026-08-20 15:07:00
PAY10311,T5180,P1069,50.0,SmartCard,2026-08-20 12:08:00
PAY10312,T5197,P1032,25.0,MobileApp,2026-08-20 07:51:00
PAY10313,T5157,P1006,50.0,ContactlessCredit,2026-08-20 17:02:00
PAY10314,T5111,P1014,10.0,SmartCard,2026-08-20 11:39:00
PAY10315,T5057,P1066,50.0,MobileApp,2026-08-20 10:24:00
PAY10316,T5096,P1051,30.0,MobileApp,2026-08-20 13:36:00
PAY10317,T5007,P1062,10.0,Cash,2026-08-20 11:53:00
PAY10318,T5022,P1015,15.0,Cash,2026-08-20 13:05:00
PAY10319,T5088,P1059,15.0,ContactlessCredit,2026-08-20 11:19:00
PAY10320,T5122,P1013,30.0,ContactlessCredit,2026-08-20 11:56:00
PAY10321,T5018,P1039,10.0,SmartCard,2026-08-20 11:26:00
PAY10322,T5088,P1083,10.0,MobileApp,2026-08-20 06:23:00
PAY10323,T5133,P1023,50.0,MobileApp,2026-08-20 10:09:00
PAY10324,T5144,P1055,30.0,MobileApp,2026-08-20 11:38:00
PAY10325,T5162,P1024,15.0,ContactlessCredit,2026-08-20 12:54:00
PAY10326,T5008,P1095,50.0,MobileApp,2026-08-20 12:45:00
PAY10327,T5152,P1055,30.0,SmartCard,2026-08-20 13:40:00
PAY10328,T5053,P1036,10.0,SmartCard,2026-08-20 09:39:00
PAY10329,T5048,P1047,25.0,MobileApp,2026-08-20 15:09:00
PAY10330,T5030,P1034,30.0,Cash,2026-08-20 13:48:00
PAY10331,T5100,P1079,30.0,SmartCard,2026-08-20 16:11:00
PAY10332,T5091,P1059,50.0,MobileApp,2026-08-20 11:56:00
PAY10333,T5181,P1039,50.0,SmartCard,2026-08-20 17:29:00
PAY10334,T5035,P1041,10.0,MobileApp,2026-08-20 17:28:00
PAY10335,T5030,P1024,25.0,MobileApp,2026-08-20 11:12:00
PAY10336,T5100,P1054,50.0,MobileApp,2026-08-20 14:43:00
PAY10337,T5099,P1055,15.0,ContactlessCredit,2026-08-20 15:48:00
PAY10338,T5138,P1089,15.0,MobileApp,2026-08-20 16:50:00
PAY10339,T5074,P1018,15.0,Cash,2026-08-20 14:21:00
PAY10340,T5159,P1007,25.0,SmartCard,2026-08-20 13:41:00
PAY10341,T5035,P1025,30.0,ContactlessCredit,2026-08-20 14:16:00
PAY10342,T5176,P1063,30.0,ContactlessCredit,2026-08-20 12:58:00
PAY10343,T5043,P1011,50.0,SmartCard,2026-08-20 14:20:00
PAY10344,T5075,P1005,25.0,MobileApp,2026-08-20 09:45:00
PAY10345,T5074,P1022,30.0,ContactlessCredit,2026-08-20 15:10:00
PAY10346,T5131,P1015,50.0,SmartCard,2026-08-20 15:22:00
PAY10347,T5199,P1070,25.0,SmartCard,2026-08-20 10:34:00
PAY10348,T5140,P1028,30.0,SmartCard,2026-08-20 13:31:00
PAY10349,T5193,P1032,25.0,SmartCard,2026-08-20 17:09:00
PAY10350,T5068,P1045,10.0,ContactlessCredit,2026-08-20 13:40:00
PAY10351,T5199,P1031,15.0,Cash,2026-08-20 08:00:00
PAY10352,T5162,P1055,15.0,MobileApp,2026-08-20 16:24:00
PAY10353,T5053,P1008,50.0,Cash,2026-08-20 09:31:00
PAY10354,T5072,P1077,50.0,MobileApp,2026-08-20 15:05:00
PAY10355,T5181,P1038,25.0,Cash,2026-08-20 11:31:00
PAY10356,T5174,P1013,15.0,ContactlessCredit,2026-08-20 14:46:00
PAY10357,T5071,P1084,15.0,MobileApp,2026-08-20 07:00:00
PAY10358,T5038,P1092,25.0,MobileApp,2026-08-20 10:15:00
PAY10359,T5101,P1063,15.0,Cash,2026-08-20 17:32:00
PAY10360,T5107,P1049,30.0,SmartCard,2026-08-20 16:42:00
PAY10361,T5197,P1012,30.0,Cash,2026-08-20 16:48:00
PAY10362,T5095,P1059,30.0,Cash,2026-08-20 17:51:00
PAY10363,T5001,P1100,10.0,ContactlessCredit,2026-08-20 15:55:00
PAY10364,T5171,P1090,25.0,SmartCard,2026-08-20 16:50:00
PAY10365,T5102,P1028,30.0,MobileApp,2026-08-20 15:07:00
PAY10366,T5069,P1042,25.0,Cash,2026-08-20 14:26:00
PAY10367,T5148,P1017,50.0,ContactlessCredit,2026-08-20 15:20:00
PAY10368,T5175,P1098,10.0,SmartCard,2026-08-20 11:51:00
PAY10369,T5161,P1059,10.0,SmartCard,2026-08-20 07:41:00
PAY10370,T5113,P1059,10.0,ContactlessCredit,2026-08-20 08:41:00
PAY10371,T5177,P1017,25.0,MobileApp,2026-08-20 09:27:00
PAY10372,T5024,P1084,25.0,Cash,2026-08-20 10:40:00
PAY10373,T5096,P1086,15.0,SmartCard,2026-08-20 07:24:00
