trip_id,bus_id,route_id,driver_id,start_time,end_time,passenger_count
T5048,B115,R4,D10,2026-08-20 16:25:00,2026-08-20 16:54:00,17
T5049,B116,R4,D4,2026-08-20 17:53:00,2026-08-20 19:02:00,14
T5050,B104,R4,D4,2026-08-20 17:11:00,2026-08-20 17:31:00,16
T5051,B115,R1,D9,2026-08-20 17:52:00,2026-08-20 19:18:00,20
T5052,B105,R4,D9,2026-08-20 08:04:00,2026-08-20 09:22:00,40
T5053,B115,R5,D9,2026-08-20 16:09:00,2026-08-20 17:09:00,32
T5054,B106,R4,D8,2026-08-20 15:21:00,2026-08-20 16:38:00,21
T5055,B117,R4,D4,2026-08-20 10:13:00,2026-08-20 11:08:00,22
T5056,B110,R2,D5,2026-08-20 13:30:00,2026-08-20 13:59:00,26
T5057,B103,R2,D3,2026-08-20 11:27:00,2026-08-20 12:56:00,19
T5058,B107,R1,D7,2026-08-20 12:32:00,2026-08-20 13:11:00,31
T5059,B115,R4,D1,2026-08-20 11:38:00,2026-08-20 13:07:00,18
T5060,B119,R1,D10,2026-08-20 13:10:00,2026-08-20 14:19:00,29
T5061,B112,R3,D7,2026-08-20 14:08:00,2026-08-20 14:28:00,31
T5062,B120,R2,D8,2026-08-20 15:11:00,2026-08-20 16:40:00,19
T5063,B116,R1,D7,2026-08-20 10:39:00,2026-08-20 11:54:00,26
T5064,B106,R4,D3,2026-08-20 17:24:00,2026-08-20 18:35:00,44
T5065,B113,R5,D10,2026-08-20 15:06:00,2026-08-20 15:29:00,47
T5066,B114,R2,D8,2026-08-20 06:27:00,2026-08-20 06:57:00,16
T5067,B113,R3,D4,2026-08-20 06:51:00,2026-08-20 07:44:00,34
T5068,B113,R3,D7,2026-08-20 11:34:00,2026-08-20 12:37:00,21
T5069,B101,R5,D1,2026-08-20 07:23:00,2026-08-20 08:43:00,27
T5070,B102,R1,D4,2026-08-20 09:49:00,2026-08-20 10:17:00,17
T5071,B108,R2,D8,2026-08-20 06:20:00,2026-08-20 06:59:00,47
T5072,B115,R3,D6,2026-08-20 07:57:00,2026-08-20 08:44:00,15
T5073,B106,R3,D2,2026-08-20 16:20:00,2026-08-20 16:54:00,42
T5074,B119,R4,D7,2026-08-20 06:26:00,2026-08-20 07:25:00,50
T5075,B119,R2,D2,2026-08-20 09:23:00,2026-08-20 09:52:00,49
T5076,B119,R1,D6,2026-08-20 11:08:00,2026-08-20 11:43:00,39
T5077,B103,R5,D6,2026-08-20 13:18:00,2026-08-20 14:25:00,5
T5078,B104,R4,D6,2026-08-20 13:10:00,2026-08-20 14:32:00,45
T5079,B114,R2,D9,2026-08-20 13:50:00,2026-08-20 14:29:00,46
T5080,B116,R4,D7,2026-08-20 10:36:00,2026-08-20 12:04:00,51
T5081,B111,R2,D2,2026-08-20 16:06:00,2026-08-20 17:00:00,22
T5082,B115,R5,D10,2026-08-20 13:41:00,2026-08-20 14:32:00,47
T5083,B101,R4,D6,2026-08-20 12:28:00,2026-08-20 13:31:00,16
T5084,B112,R3,D6,2026-08-20 14:19:00,2026-08-20 15:06:00,22
T5085,B118,R1,D9,2026-08-20 16:10:00,2026-08-20 17:05:00,17
T5086,B114,R4,D9,2026-08-20 07:27:00,2026-08-20 08:17:00,53
T5087,B116,R4,D1,2026-08-20 10:06:00,2026-08-20 11:26:00,10
T5088,B113,R2,D5,2026-08-20 11:01:00,2026-08-20 11:49:00,47
T5089,B116,R5,D9,2026-08-20 15:55:00,2026-08-20 17:02:00,27
T5090,B111,R3,D8,2026-08-20 13:15:00,2026-08-20 14:45:00,22
T5091,B108,R1,D4,2026-08-20 11:13:00,2026-08-20 12:05:00,25
T5092,B106,R2,D4,2026-08-20 08:02:00,2026-08-20 09:30:00,52
T5093,B119,R5,D10,2026-08-20 14:15:00,2026-08-20 15:10:00,23
T5094,B110,R2,D6,2026-08-20 07:42:00,2026-08-20 08:26:00,16
T5095,B118,R2,D5,2026-08-20 11:09:00,2026-08-20 11:30:00,7
T5096,B110,R2,D8,2026-08-20 06:55:00,2026-08-20 08:25:00,11
T5097,B116,R4,D8,2026-08-20 06:12:00,2026-08-20 07:08:00,26
T5098,B109,R4,D2,2026-08-20 09:08:00,2026-08-20 09:34:00,9
T5099,B103,R5,D1,2026-08-20 12:50:00,2026-08-20 14:12:00,14
T5100,B103,R2,D2,2026-08-20 08:32:00,2026-08-20 09:30:00,40
T5101,B117,R4,D8,2026-08-20 13:06:00,2026-08-20 13:54:00,33
T5102,B110,R5,D10,2026-08-20 11:04:00,2026-08-20 12:18:00,8
T5103,B107,R2,D5,2026-08-20 16:24:00,2026-08-20 16:56:00,47
T5104,B108,R2,D9,2026-08-20 07:23:00,2026-08-20 08:03:00,9
T5105,B114,R4,D10,2026-08-20 08:40:00,2026-08-20 09:00:00,35
T5106,B108,R3,D5,2026-08-20 10:58:00,2026-08-20 11:22:00,49
T5107,B108,R3,D10,2026-08-20 13:44:00,2026-08-20 14:13:00,47
T5108,B104,R5,D4,2026-08-20 09:22:00,2026-08-20 10:36:00,46
T5109,B105,R1,D1,2026-08-20 08:32:00,2026-08-20 09:26:00,15
T5110,B115,R1,D8,2026-08-20 11:14:00,2026-08-20 12:10:00,49
T5111,B109,R5,D9,2026-08-20 11:11:00,2026-08-20 12:22:00,36
T5112,B120,R1,D7,2026-08-20 13:28:00,2026-08-20 13:58:00,52
T5113,B101,R1,D4,2026-08-20 11:30:00,2026-08-20 12:22:00,48
T5114,B109,R5,D1,2026-08-20 15:49:00,2026-08-20 16:11:00,53
T5115,B117,R4,D5,2026-08-20 08:59:00,2026-08-20 10:19:00,16
T5116,B116,R1,D8,2026-08-20 15:59:00,2026-08-20 17:14:00,27
T5117,B111,R1,D3,2026-08-20 12:58:00,2026-08-20 14:00:00,26
T5118,B110,R4,D9,2026-08-20 13:01:00,2026-08-20 14:24:00,7
T5119,B111,R3,D6,2026-08-20 13:45:00,2026-08-20 14:16:00,12
T5120,B101,R5,D8,2026-08-20 12:53:00,2026-08-20 14:18:00,31
T5121,B117,R3,D10,2026-08-20 06:55:00,2026-08-20 07:39:00,53
T5122,B102,R2,D5,2026-08-20 14:30:00,2026-08-20 15:46:00,40
T5123,B115,R4,D2,2026-08-20 08:14:00,2026-08-20 09:10:00,6
T5124,B106,R3,D9,2026-08-20 16:45:00,2026-08-20 17:35:00,5
T5125,B103,R2,D2,2026-08-20 15:25:00,2026-08-20 16:37:00,34
T5126,B116,R3,D9,2026-08-20 08:00:00,2026-08-20 08:39:00,50
T5127,B116,R4,D4,2026-08-20 10:39:00,2026-08-20 11:52:00,34
T5128,B113,R2,D10,2026-08-20 15:24:00,2026-08-20 16:02:00,37
T5129,B109,R4,D6,2026-08-20 08:19:00,2026-08-20 08:47:00,55
T5130,B101,R3,D5,2026-08-20 14:39:00,2026-08-20 15:33:00,42
T5131,B105,R4,D9,2026-08-20 15:53:00,2026-08-20 17:15:00,35
T5132,B118,R5,D7,2026-08-20 11:53:00,2026-08-20 12:55:00,34
T5133,B108,R5,D7,2026-08-20 11:29:00,2026-08-20 12:13:00,19
T5134,B111,R4,D7,2026-08-20 13:00:00,2026-08-20 13:25:00,29
T5135,B116,R1,D3,2026-08-20 17:19:00,2026-08-20 17:58:00,37
T5136,B104,R4,D2,2026-08-20 16:04:00,2026-08-20 17:06:00,38
T5137,B105,R4,D3,2026-08-20 13:47:00,2026-08-20 14:08:00,9
T5138,B111,R5,D7,2026-08-20 14:00:00,2026-08-20 14:53:00,46
T5139,B118,R4,D6,2026-08-20 07:22:00,2026-08-20 08:24:00,45
T5140,B102,R5,D2,2026-08-20 14:19:00,2026-08-20 15:48:00,20
T5141,B108,R1,D7,2026-08-20 16:46:00,2026-08-20 17:42:00,11
T5142,B115,R2,D5,2026-08-20 16:48:00,2026-08-20 17:20:00,6
T5143,B102,R3,D6,2026-08-20 06:47:00,2026-08-20 07:48:00,28
T5144,B108,R5,D7,2026-08-20 13:21:00,2026-08-20 13:59:00,41
T5145,B106,R2,D2,2026-08-20 17:38:00,2026-08-20 18:21:00,44
T5146,B116,R5,D3,2026-08-20 12:31:00,2026-08-20 13:21:00,19
T5147,B115,R3,D1,2026-08-20 13:52:00,2026-08-20 14:44:00,34
T5148,B106,R1,D8,2026-08-20 10:54:00,2026-08-20 12:23:00,27
T5149,B114,R3,D8,2026-08-20 16:01:00,2026-08-20 16:59:00,24
T5150,B116,R1,D4,2026-08-20 09:23:00,2026-08-20 10:32:00,29
T5151,B119,R3,D5,2026-08-20 15:45:00,2026-08-20 16:50:00,6
T5152,B109,R1,D10,2026-08-20 17:14:00,2026-08-20 18:24:00,48
T5153,B110,R2,D10,2026-08-20 06:50:00,2026-08-20 08:13:00,27
T5154,B120,R3,D3,2026-08-20 09:44:00,2026-08-20 10:28:00,45
T5155,B110,R4,D1,2026-08-20 07:39:00,2026-08-20 08:04:00,42
T5156,B103,R3,D6,2026-08-20 12:13:00,2026-08-20 12:49:00,52
T5157,B107,R2,D9,2026-08-20 13:05:00,2026-08-20 13:47:00,28
T5158,B109,R2,D5,2026-08-20 15:03:00,2026-08-20 16:27:00,35
T5159,B104,R4,D2,2026-08-20 11:02:00,2026-08-20 12:05:00,14
T5160,B118,R3,D2,2026-08-20 09:51:00,2026-08-20 11:01:00,55
T5161,B109,R5,D2,2026-08-20 12:44:00,2026-08-20 13:05:00,34
T5162,B119,R4,D6,2026-08-20 12:17:00,2026-08-20 13:10:00,11
T5163,B116,R1,D10,2026-08-20 17:31:00,2026-08-20 18:20:00,40
T5164,B103,R4,D5,2026-08-20 11:35:00,2026-08-20 12:23:00,46
T5165,B105,R1,D1,2026-08-20 12:58:00,2026-08-20 13:32:00,24
T5166,B104,R2,D9,2026-08-20 14:24:00,2026-08-20 14:58:00,13
T5167,B112,R5,D7,2026-08-20 12:37:00,2026-08-20 13:55:00,42
T5168,B104,R4,D10,2026-08-20 08:38:00,2026-08-20 09:51:00,31
T5169,B112,R2,D8,2026-08-20 10:46:00,2026-08-20 11:10:00,33
T5170,B104,R3,D9,2026-08-20 10:01:00,2026-08-20 11:07:00,46
T5171,B113,R3,D4,2026-08-20 12:07:00,2026-08-20 12:34:00,12
T5172,B107,R5,D1,2026-08-20 13:45:00,2026-08-20 14:16:00,8
T5173,B105,R5,D4,2026-08-20 11:41:00,2026-08-20 12:32:00,9
T5174,B119,R2,D4,2026-08-20 15:27:00,2026-08-20 16:13:00,26
T5175,B109,R2,D3,2026-08-20 08:31:00,2026-08-20 08:51:00,39
T5176,B104,R1,D3,2026-08-20 10:16:00,2026-08-20 10:58:00,5
T5177,B119,R3,D1,2026-08-20 12:06:00,2026-08-20 12:56:00,16
T5178,B105,R4,D9,2026-08-20 10:31:00,2026-08-20 10:57:00,12
T5179,B115,R3,D9,2026-08-20 07:05:00,2026-08-20 08:25:00,42
T5180,B117,R2,D10,2026-08-20 07:51:00,2026-08-20 09:08:00,7
T5181,B110,R4,D1,2026-08-20 17:14:00,2026-08-20 18:40:00,8
T5182,B114,R1,D8,2026-08-20 14:10:00,2026-08-20 15:21:00,50
T5183,B103,R3,D10,2026-08-20 13:34:00,2026-08-20 14:03:00,14
T5184,B109,R5,D10,2026-08-20 07:07:00,2026-08-20 07:43:00,40
T5185,B120,R5,D5,2026-08-20 11:32:00,2026-08-20 12:40:00,34
T5186,B104,R1,D9,2026-08-20 14:37:00,2026-08-20 15:52:00,51
T5187,B115,R2,D7,2026-08-20 09:40:00,2026-08-20 10:55:00,26
T5188,B114,R1,D6,2026-08-20 13:44:00,2026-08-20 14:55:00,32
T5189,B112,R2,D8,2026-08-20 11:20:00,2026-08-20 12:12:00,9
T5190,B103,R4,D2,2026-08-20 07:33:00,2026-08-20 08:03:00,52
T5191,B118,R1,D10,2026-08-20 12:21:00,2026-08-20 12:57:00,40
T5192,B104,R4,D6,2026-08-20 15:35:00,2026-08-20 16:37:00,47
T5193,B110,R5,D5,2026-08-20 13:13:00,2026-08-20 13:39:00,27
T5194,B107,R2,D8,2026-08-20 07:46:00,2026-08-20 09:10:00,19
T5195,B118,R3,D2,2026-08-20 07:50:00,2026-08-20 08:54:00,53
T5196,B114,R5,D10,2026-08-20 10:45:00,2026-08-20 11:33:00,44
T5197,B120,R3,D1,2026-08-20 17:31:00,2026-08-20 17:54:00,16
T5198,B111,R3,D1,2026-08-20 10:39:00,2026-08-20 11:38:00,16
T5199,B103,R2,D1,2026-08-20 08:26:00,2026-08-20 09:37:00,10
T5200,B113,R4,D8,2026-08-20 15:03:00,2026-08-20 15:50:00,26
